NU_INSCRICAO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TP_LINGUA;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q025
2,10E+11;11;F;2;3;1;1;13;1;;0;;;;;3205309;Vitória;32;ES;;;;0;0;0;0;;;;;0;;;;;;;;B
2,10E+11;11;M;1;3;1;1;6;1;;0;;;;;3200201;Alegre;32;ES;;;;1;1;1;1;630.4;572.3;478.2;574.2;1;1;120;140;120;140;120;640;B
2,10E+11;13;M;1;2;1;1;16;1;;0;;;;;3205309;Vitória;32;ES;;;;1;1;1;1;479.9;562.1;481.7;567.4;0;1;80;120;80;100;100;480;B
2,10E+11;10;F;1;1;1;1;5;1;;0;;;;;3205002;Serra;32;ES;;;;1;1;1;1;376.7;454.8;360.4;500.8;1;1;80;80;60;100;0;320;B
2,10E+11;3;F;1;2;1;2;0;2;1;0;3205309;Vitória;32;ES;3205002;Serra;32;ES;2;1;1;1;1;1;1;477;606.7;545.8;501.6;1;1;160;200;160;200;200;920;B
2,10E+11;12;M;2;2;1;1;0;1;;0;;;;;3201308;Cariacica;32;ES;;;;1;1;1;1;434.3;503.9;496.2;468.6;0;1;80;140;100;80;100;500;B
2,10E+11;3;F;1;1;1;2;0;2;1;0;;;;;3205002;Serra;32;ES;;;;1;1;1;1;541.1;605;617;403.2;0;1;140;160;120;120;120;660;B
2,10E+11;12;M;1;2;1;1;7;1;;0;;;;;3201308;Cariacica;32;ES;;;;0;0;0;0;;;;;0;;;;;;;;B
2,10E+11;3;F;1;3;1;1;1;1;;0;;;;;3205309;Vitória;32;ES;;;;1;1;1;1;470.8;524.9;555.4;540.7;1;1;140;200;160;180;200;880;B
2,10E+11;11;M;1;1;1;1;12;1;;0;;;;;3205069;Venda Nova do Imigrante;32;ES;;;;1;1;1;1;598.3;630.3;614;715.9;0;1;120;140;120;120;80;580;B
2,10E+11;8;F;1;3;1;1;0;1;;0;;;;;3205002;Serra;32;ES;;;;0;0;0;0;;;;;0;;;;;;;;A
2,10E+11;5;F;1;3;1;1;1;1;;0;;;;;3203403;Mimoso do Sul;32;ES;;;;1;1;1;1;468.1;521.7;467.9;455;0;1;100;200;100;100;100;600;B
2,10E+11;1;F;1;3;1;3;0;1;;1;;;;;3202405;Guarapari;32;ES;;;;0;0;0;0;;;;;0;;;;;;;;B
2,10E+11;13;F;1;3;1;1;16;1;;0;;;;;3205200;Vila Velha;32;ES;;;;1;1;1;1;440.2;545.1;546.3;339.2;1;1;60;120;120;100;60;460;B
2,10E+11;11;F;1;3;1;1;0;1;;0;;;;;3202405;Guarapari;32;ES;;;;0;0;0;0;;;;;1;;;;;;;;A
2,10E+11;5;F;1;3;1;1;3;1;;0;;;;;3205002;Serra;32;ES;;;;0;1;1;0;;506.3;535.8;;1;1;100;140;120;100;140;600;B
2,10E+11;3;F;1;2;1;2;0;2;1;0;;;;;3205002;Serra;32;ES;;;;1;1;1;1;465.2;465.7;477.2;517.1;1;1;120;160;100;120;120;620;B
2,10E+11;3;M;1;3;1;2;0;2;1;0;;;;;3200169;Água Doce do Norte;32;ES;;;;1;1;1;1;493.2;594.1;574;559.7;1;1;120;180;160;160;160;780;B
2,10E+11;1;F;1;3;1;2;0;2;1;0;3205309;Vitória;32;ES;3205309;Vitória;32;ES;2;1;1;1;1;1;1;419.1;569.1;549.9;488;1;1;140;180;180;200;200;900;B
2,10E+11;7;F;1;3;1;1;4;1;;0;;;;;3203007;Iúna;32;ES;;;;0;0;0;0;;;;;0;;;;;;;;B
2,10E+11;7;F;1;3;1;1;0;1;;0;;;;;3205200;Vila Velha;32;ES;;;;0;0;0;0;;;;;0;;;;;;;;B
2,10E+11;11;M;1;3;1;1;0;1;;0;;;;;3202405;Guarapari;32;ES;;;;0;0;0;0;;;;;1;;;;;;;;B
2,10E+11;6;F;1;2;1;1;0;1;;0;;;;;3203205;Linhares;32;ES;;;;1;1;1;1;433.7;324.6;297.9;520.8;0;1;120;120;120;80;120;560;B
2,10E+11;3;F;1;1;1;1;1;1;;0;;;;;3205200;Vila Velha;32;ES;;;;0;0;0;0;;;;;0;;;;;;;;B
2,10E+11;7;F;1;2;1;1;0;1;;0;;;;;3200607;Aracruz;32;ES;;;;1;1;1;1;501.4;569.9;583.1;634.7;0;1;120;120;120;120;100;580;B
2,10E+11;4;F;1;3;1;1;1;1;;0;;;;;3201209;Cachoeiro de Itapemirim;32;ES;;;;1;1;1;1;421.1;479.5;491.9;565.9;1;1;100;180;140;140;180;740;B
2,10E+11;3;F;1;1;1;2;0;3;1;0;;;;;3205200;Vila Velha;32;ES;;;;1;1;1;1;396.2;432.4;362.9;414.3;0;1;100;160;120;120;120;620;B
2,10E+11;1;F;1;1;1;3;0;1;;1;;;;;3202306;Guaçuí;32;ES;;;;0;0;0;0;;;;;0;;;;;;;;B
2,10E+11;3;F;1;3;1;2;0;2;1;0;;;;;3205200;Vila Velha;32;ES;;;;1;1;1;1;428;498.7;413.6;415.3;1;1;120;120;80;120;0;440;B
2,10E+11;11;F;2;2;1;2;0;2;;0;3201605;Conceição da Barra;32;ES;3201605;Conceição da Barra;32;ES;2;1;1;0;0;0;0;;;;;0;;;;;;;;B
2,10E+11;13;M;2;3;1;4;0;1;;0;;;;;3201308;Cariacica;32;ES;;;;0;0;0;0;;;;;0;;;;;;;;B
2,10E+11;7;F;1;1;1;1;1;1;;0;;;;;3205002;Serra;32;ES;;;;1;1;1;1;410.1;516.3;482;513.1;1;1;120;200;120;140;80;660;B
2,10E+11;4;M;1;3;1;1;1;1;;0;;;;;3201308;Cariacica;32;ES;;;;0;0;0;0;;;;;0;;;;;;;;B
