NU_INSCRICAO,FAIXA_ETARIA,SEXO,ESTADO_CIVIL,RACA,NACIONALIDADE,TP_ST_CONCLUSAO,ESCOLA,IN_TREINEIRO,NO_MUNICIPIO_ESC,NO_MUNICIPIO_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NOTA_CN,NOTA_CH,NOTA_LC,NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,COMP1,COMP2,COMP3,COMP4,COMP5,NOTA_REDACAO,INTERNET
"2,10E+11",18,F,1,preta,1,3,nao_respondeu,1,,Vitória,1,1,1,1,477.0,355.1,528.2,424.7,ingles,1.0,140.0,120.0,120.0,120.0,100.0,600.0,sim
"2,10E+11",<_17,M,1,parda,1,3,nao_respondeu,1,,Venda Nova do Imigrante,1,1,1,1,534.7,556.0,573.9,684.0,ingles,1.0,120.0,200.0,140.0,160.0,120.0,740.0,sim
"2,10E+11",<_17,F,1,parda,1,3,nao_respondeu,1,,Ecoporanga,0,1,1,0,,534.6,538.4,,ingles,1.0,120.0,120.0,100.0,100.0,140.0,580.0,sim
"2,10E+11",<_17,F,1,parda,1,3,nao_respondeu,1,,Serra,1,1,1,1,381.9,602.0,579.6,561.5,ingles,1.0,160.0,160.0,160.0,160.0,140.0,780.0,sim
"2,10E+11",36_40,F,2,parda,1,3,nao_respondeu,1,,Serra,0,0,0,0,,,,,espanhol,,,,,,,,sim
"2,10E+11",17,F,1,preta,1,3,nao_respondeu,1,,Santa Teresa,1,1,1,1,503.5,442.8,421.6,456.5,espanhol,1.0,120.0,120.0,120.0,120.0,0.0,480.0,sim
"2,10E+11",<_17,F,1,parda,1,3,nao_respondeu,1,,São Mateus,0,1,1,0,,558.8,509.8,,ingles,1.0,100.0,200.0,120.0,140.0,140.0,700.0,sim
"2,10E+11",<_17,F,1,branca,1,3,nao_respondeu,1,,Jaguaré,1,1,1,1,456.3,566.7,559.1,576.3,ingles,1.0,160.0,200.0,160.0,180.0,180.0,880.0,sim
"2,10E+11",17,F,1,branca,1,3,nao_respondeu,1,,Cariacica,1,1,1,1,397.3,512.1,524.1,528.2,ingles,1.0,120.0,40.0,40.0,120.0,40.0,360.0,sim
"2,10E+11",18,M,1,branca,1,3,nao_respondeu,1,,Serra,1,1,1,1,515.9,387.7,418.2,491.8,ingles,1.0,120.0,140.0,80.0,120.0,100.0,560.0,sim
"2,10E+11",17,F,1,parda,1,3,nao_respondeu,1,,São Mateus,0,1,1,0,,476.2,516.7,,ingles,1.0,140.0,120.0,120.0,140.0,120.0,640.0,sim
"2,10E+11",17,F,0,parda,1,3,nao_respondeu,1,,Vitória,0,0,0,0,,,,,espanhol,,,,,,,,sim
"2,10E+11",17,F,1,branca,1,3,nao_respondeu,1,,Marataízes,1,1,1,1,366.9,524.1,554.7,431.0,ingles,1.0,120.0,200.0,120.0,180.0,120.0,740.0,sim
"2,10E+11",17,F,1,preta,1,3,nao_respondeu,1,,Baixo Guandu,0,0,0,0,,,,,espanhol,,,,,,,,sim
"2,10E+11",<_17,F,1,preta,1,3,nao_respondeu,1,,Colatina,0,0,0,0,,,,,espanhol,,,,,,,,sim
"2,10E+11",<_17,F,1,branca,1,3,nao_respondeu,1,,Cariacica,1,1,1,1,463.7,526.6,493.3,508.0,ingles,1.0,160.0,180.0,140.0,200.0,140.0,820.0,sim
"2,10E+11",17,F,1,preta,1,3,nao_respondeu,1,,Cachoeiro de Itapemirim,1,1,1,1,452.0,597.9,573.9,600.3,espanhol,1.0,160.0,200.0,120.0,160.0,200.0,840.0,sim
"2,10E+11",17,F,1,parda,1,3,nao_respondeu,1,,Serra,1,1,1,1,452.6,533.2,467.4,525.8,ingles,1.0,120.0,140.0,120.0,100.0,160.0,640.0,sim
"2,10E+11",22,F,3,branca,1,3,nao_respondeu,1,,Iúna,0,1,1,0,,470.1,409.6,,ingles,1.0,100.0,100.0,100.0,100.0,40.0,440.0,sim
